iter	Passed	Remaining
399	103180	25795
400	103391	25525
401	103592	25253
402	103799	24983
403	103996	24711
404	104216	24445
405	104425	24177
406	104665	23916
407	104897	23653
408	105151	23395
409	105343	23124
410	105608	22868
411	105859	22610
412	106093	22349
413	106327	22087
414	106560	21825
415	106787	21562
416	107001	21297
417	107216	21032
418	107414	20765
419	107624	20499
420	107888	20245
421	108154	19990
422	108362	19725
423	108571	19460
424	108808	19201
425	108995	18933
426	109245	18676
427	109495	18419
428	109700	18155
429	109936	17896
430	110166	17636
431	110377	17374
432	110594	17112
433	110827	16853
434	111035	16591
435	111239	16328
436	111455	16068
437	111660	15805
438	111897	15548
439	112112	15288
440	112312	15025
441	112535	14767
442	112745	14506
443	112987	14250
444	113182	13988
445	113469	13738
446	113721	13483
447	113913	13222
448	114123	12962
449	114333	12703
450	114576	12448
451	114818	12193
452	115077	11939
453	115360	11688
454	115596	11432
455	115815	11175
456	116078	10922
457	116330	10667
458	116593	10414
459	116839	10159
460	117096	9906
461	117333	9650
462	117565	9395
463	117814	9140
464	118083	8888
465	118302	8631
466	118544	8376
467	118790	8122
468	119017	7866
469	119220	7609
470	119436	7353
471	119671	7099
472	119885	6843
473	120097	6587
474	120321	6332
475	120558	6078
476	120769	5823
477	120982	5568
478	121256	5316
479	121497	5062
480	121716	4807
481	121930	4553
482	122166	4299
483	122407	4046
484	122619	3792
485	122872	3539
486	123127	3286
487	123346	3033
488	123552	2779
489	123772	2525
490	123982	2272
491	124205	2019
492	124434	1766
493	124651	1513
494	124883	1261
495	125152	1009
496	125395	756
497	125648	504
498	125888	252
499	126093	0
