iter	MultiClass
0	1.693566924
1	1.593223773
2	1.520002116
3	1.442091739
4	1.360968296
5	1.304472574
6	1.246386822
7	1.191816072
8	1.155061936
9	1.112799362
10	1.078145682
11	1.049879855
12	1.023846352
13	0.992580556
14	0.9585320059
15	0.9279947173
16	0.9053883153
17	0.8954255535
18	0.880477872
19	0.8577080707
20	0.835732912
21	0.8243637448
22	0.8126465125
23	0.7930248329
24	0.7734601959
25	0.7521147066
26	0.7415255486
27	0.7282160486
28	0.7154579971
29	0.6984460958
30	0.6817936053
31	0.6736793142
32	0.6560519464
33	0.6442116788
34	0.6304303766
35	0.6171232293
36	0.6042593788
37	0.594001636
38	0.5837681809
39	0.5727523147
40	0.5624900281
41	0.5530428601
42	0.5418322299
43	0.5309047078
44	0.5237212946
45	0.5206689399
46	0.5147716094
47	0.5066635804
48	0.4985774961
49	0.4879603232
50	0.4779301165
51	0.4767737556
52	0.4693710849
53	0.4636956336
54	0.4570522941
55	0.4513957776
56	0.4447779268
57	0.4378089077
58	0.4324160949
59	0.4268507206
60	0.4209214034
61	0.4193421996
62	0.4136546714
63	0.4096593726
64	0.4059031449
65	0.404825305
66	0.4004819411
67	0.3938736275
68	0.3902149694
69	0.3846131731
70	0.3810694924
71	0.3769363957
72	0.3728024415
73	0.3685184753
74	0.364232948
75	0.358150342
76	0.3527157747
77	0.348819759
78	0.3441206541
79	0.3395763848
80	0.3371093463
81	0.3343085951
82	0.3297639758
83	0.3242456799
84	0.3195288449
85	0.3157903477
86	0.3114984857
87	0.307745382
88	0.3037056549
89	0.3014375332
90	0.2997405383
91	0.2975323915
92	0.2949838973
93	0.2919776528
94	0.2897147162
95	0.2862358963
96	0.283748463
97	0.2807725409
98	0.278130804
99	0.2758539911
100	0.2734873089
101	0.2715044298
102	0.2680285888
103	0.2656302763
104	0.262353803
105	0.260053441
106	0.2580706187
107	0.2550014612
108	0.2524233872
109	0.2498411025
110	0.2487021437
111	0.2467612897
112	0.2448336649
113	0.2421141871
114	0.2402699736
115	0.2381776916
116	0.2360621723
117	0.2338513158
118	0.23233855
119	0.2294343404
120	0.2282392036
121	0.2277436994
122	0.2257021211
123	0.2238034499
124	0.2213882765
125	0.2197369522
126	0.2175849496
127	0.2159691215
128	0.2142699504
129	0.2122222026
130	0.2104661093
131	0.2093737483
132	0.207427491
133	0.2057811053
134	0.2044096608
135	0.2033884492
136	0.2017528157
137	0.2006327713
138	0.1991860109
139	0.1980062914
140	0.1966409418
141	0.1960434191
142	0.1940215575
143	0.1921513044
144	0.1901172076
145	0.1883886206
146	0.1867715556
147	0.1852761063
148	0.1842526346
149	0.1829392403
150	0.1814351017
151	0.180251913
152	0.1796355386
153	0.1791532383
154	0.1780893318
155	0.1770574012
156	0.1762723861
157	0.1746161824
158	0.1739614023
159	0.173477562
160	0.1721678925
161	0.1709491028
162	0.1701566765
163	0.1695723659
164	0.1687050623
165	0.1677156179
166	0.1660188165
167	0.1651593001
168	0.1643091718
169	0.1630555119
170	0.161763411
171	0.1604690527
172	0.1589654154
173	0.158159426
174	0.1574676543
175	0.156748939
176	0.1558082119
177	0.1548634679
178	0.1540094645
179	0.1531110796
180	0.1521244771
181	0.1514506319
182	0.1508090243
183	0.1504269354
184	0.1496309233
185	0.1483468967
186	0.1472971365
187	0.1466280666
188	0.1461424887
189	0.1452653874
190	0.1441931593
191	0.143487684
192	0.1428944103
193	0.1421815083
194	0.1412487273
195	0.1405158571
